Year,School.Name,Medical,Competition.Guarantees,Recruiting,Game.Expenses.and.Travel,Other.Expenses,Facilities.and.Equipment,Coaches.Compensation,Athletic.Student.Aid,Corporate.Sponsorship..Advertising..Licensing,Donor.Contributions,NCAA.Conference.Distributions..Media.Rights..and.Post.Season.Football,Ticket.Sales,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,NCAA Subdivision,quantiles,Total.Points
2015,Miami University,403428.1727,796588.4209,370766.249,3753478.2939999998,3519605.5539999995,4038735.211,6130216.254,9557616.048,700561.0489,1680890.638,2266312.203,1249797.8,15975,14287,30987,Football Bowl Subdivision,1,19
2015,University of Northern Iowa,228658.78100000002,877762.7438,239820.8453,3262995.538,1478625.688,3350943.248,4616601.65,3926244.731,1304881.064,3061492.0760000004,1348269.6269999999,2187887.1319999998,9934,7817,18005,Football Championship Subdivision,1,15
2015,Virginia Polytechnic Institute and State University,966510.4206,1959418.7230000002,1666190.494,7824443.042,5027392.553,19070884.58,15966577.09,11953463.08,2227985.707,16960196.25,31585745.93,17240574.38,25327,12485,29129,Football Bowl Subdivision,1,11
2015,The University of Tennessee at Chattanooga,172879.8505,7088.310823999999,273833.5985,1389906.365,2497484.297,1299965.827,3723144.374,5280452.338,467271.5757,1003128.6340000001,671866.5541,1192565.7659999998,9976,8356,24474,Football Championship Subdivision,1,9
2015,McNeese State University,565255.3214,245710.21899999998,224174.9181,1310812.967,1028126.069,1882178.4130000002,1761068.5469999998,3376103.7139999997,864648.3562,2065752.499,752135.5985,1051856.721,6511,7290,18365,Football Championship Subdivision,1,6
2015,University of Memphis,780948.5693,1192334.89,801152.2804,5628236.257999999,3840504.5239999997,5779721.561000001,11332840.96,8325086.385,3063512.244,9186656.389,4261048.942,7494799.122,15553,8903,20615,Football Bowl Subdivision,1,2
2015,New Jersey Institute of Technology,350408.6204,12151.38998,140211.8512,1046491.882,760333.7362,3821474.434,2322631.871,3919872.34,0.0,260764.7786,412913.3452,25797.40094,7049,16108,30326,No Football Subdivision,1,1
2015,University of New Hampshire,259128.3914,10632.46624,410743.3095,3120042.5360000003,1620714.929,5464224.897000001,5209559.103,8993126.264,1597360.97,1113576.668,1487630.881,1767948.259,12789,16986,30256,Football Championship Subdivision,1,1
2015,Stony Brook University,309421.9819,110375.1257,444399.6219,2619602.728,3358565.208,7013206.12,3987506.977,6831835.4860000005,997879.2338,871547.3078,1216115.16,564081.6997,16583,8855,23935,Football Championship Subdivision,1,12
2015,Kansas State University,957797.8739,2006359.543,1169985.446,7402830.313999999,7691559.492000001,13080158.19,13538031.68,7872258.761,2253490.462,22811665.69,30810718.13,16553494.29,19443,9350,23429,Football Bowl Subdivision,1,7
2015,Georgia State University,291003.5126,380977.4671,414475.8114,2875167.725,1972545.2619999999,4042226.711,5317289.276000001,7680241.484,704332.0303,748277.5321,2155618.1040000003,851464.098,24421,8974,23542,Football Bowl Subdivision,1,4
2015,"University at Albany, State University of New York",166792.0042,0.0,448034.9127,2279824.549,537156.2447,2337155.82,3639594.454,6175772.8270000005,473764.4684,676101.3135,1320595.8490000002,499850.4648,12698,8996,22116,Football Championship Subdivision,1,2
2014,University of Virginia,1206553.832,2220512.836,1232685.981,10094961.81,9330006.415,16592726.28,18339513.83,14515712.15,4798673.973999999,25472887.87,19187440.01,16092229.12,15515,13208,42394,Football Bowl Subdivision,3,202
2014,Texas Tech University,853340.9791,1447999.436,1880821.261,8347297.308999999,4847235.812,22148638.47,11822987.66,5727374.004,7504405.743,28008884.35,23494585.05,11349834.16,28278,7811,16499,Football Bowl Subdivision,1,18
2014,University of Maryland-College Park,980885.2494,4211550.206,811028.3099,7339697.98,6399977.759,12989130.74,14358500.55,13473940.09,9163259.867,11381031.34,19301917.19,13628321.11,26532,9427,29720,Football Bowl Subdivision,3,120
2014,North Dakota State University,269817.2748,420704.68299999996,417753.4615,4694647.219,2461811.4359999998,1484978.414,4028793.458,3508912.12,1561208.333,3710592.777,1014416.235,3797348.145,11763,7940,18969,Football Championship Subdivision,2,60
2014,Pennsylvania State University,2976030.606,2137430.527,2487279.535,11382750.78,21459679.82,22312623.38,23060832.55,15427211.76,4958363.343,24503704.09,28149397.37,38532035.86,39958,17502,30452,Football Bowl Subdivision,3,136
